Element,Item,Year,Unit,Value
Crop residues (N content),Barley,2022,kg,84397661.82
Crop residues (Emissions N2O),Barley,2022,kg,1624700
Crop residues (Direct emissions N2O),Barley,2022,kg,1326200
Crop residues (Indirect emissions N2O),Barley,2022,kg,298400
Crop residues (N content),Oats,2022,kg,10518620.06
Crop residues (Emissions N2O),Oats,2022,kg,202500
Crop residues (Direct emissions N2O),Oats,2022,kg,165300
Crop residues (Indirect emissions N2O),Oats,2022,kg,37200
Crop residues (N content),Potatoes,2022,kg,7526542.21
Crop residues (Emissions N2O),Potatoes,2022,kg,144900
Crop residues (Direct emissions N2O),Potatoes,2022,kg,118300
Crop residues (Indirect emissions N2O),Potatoes,2022,kg,26600
Crop residues (N content),Rye,2022,kg,2454610.795
Crop residues (Emissions N2O),Rye,2022,kg,47300
Crop residues (Direct emissions N2O),Rye,2022,kg,38600
Crop residues (Indirect emissions N2O),Rye,2022,kg,8700
Crop residues (N content),Wheat,2022,kg,189248694.9
Crop residues (Emissions N2O),Wheat,2022,kg,3643000
Crop residues (Direct emissions N2O),Wheat,2022,kg,2973900
Crop residues (Indirect emissions N2O),Wheat,2022,kg,669100
"Burning crop residues (Biomass burned, dry matter)",Wheat,2022,kg,723600000
Burning crop residues (Emissions N2O),Wheat,2022,kg,50700
Burning crop residues (Emissions CH4),Wheat,2022,kg,1953700
