Element,Item,Year,Unit,Value
Stocks,"Cattle, dairy",2022,An,1850000
Livestock total (Emissions N2O),"Cattle, dairy",2022,kt,5646900
Livestock total (Emissions CH4),"Cattle, dairy",2022,kt,255300000
Enteric fermentation (Emissions CH4),"Cattle, dairy",2022,kt,216450000
"Manure management (manure treated, N content)","Cattle, dairy",2022,kg,155577600
Manure management (Emissions CH4),"Cattle, dairy",2022,kt,38850000
Manure management (Emissions N2O),"Cattle, dairy",2022,kt,1904200
Manure management (Direct emissions N2O),"Cattle, dairy",2022,kt,1115400
Manure management (Indirect emissions N2O),"Cattle, dairy",2022,kt,788800
Manure left on pasture (N content),"Cattle, dairy",2022,kg,38894400
Manure left on pasture that leaches (N content),"Cattle, dairy",2022,kg,11668320
Manure left on pasture that volatilises (N content),"Cattle, dairy",2022,kg,7778880
Manure left on pasture (Emissions N2O),"Cattle, dairy",2022,kt,1482200
Manure left on pasture (Direct emissions N2O),"Cattle, dairy",2022,kt,1222400
Indirect emissions (N2O that leaches) (Manure on pasture),"Cattle, dairy",2022,kt,137500
Indirect emissions (N2O that volatilises) (Manure on pasture),"Cattle, dairy",2022,kt,122200
Manure left on pasture (Indirect emissions N2O),"Cattle, dairy",2022,kt,259800
Manure applied to soils (N content),"Cattle, dairy",2022,kg,100951451.2
Manure applied to soils that leaches (N content),"Cattle, dairy",2022,kg,30285435.36
Manure applied to soils that volatilises (N content),"Cattle, dairy",2022,kg,20190290.24
Emissions (N2O) (Manure applied),"Cattle, dairy",2022,kt,2260600
Manure applied to soils (Direct emissions N2O),"Cattle, dairy",2022,kt,1586400
Indirect emissions (N2O that leaches) (Manure applied),"Cattle, dairy",2022,kt,356900
Indirect emissions (N2O that volatilises) (Manure applied),"Cattle, dairy",2022,kt,317300
Manure applied to soils (Indirect emissions N2O),"Cattle, dairy",2022,kt,674200
Stocks,"Cattle, non-dairy",2022,An,7782000
Livestock total (Emissions N2O),"Cattle, non-dairy",2022,kt,12481600
Livestock total (Emissions CH4),"Cattle, non-dairy",2022,kt,490266000
Enteric fermentation (Emissions CH4),"Cattle, non-dairy",2022,kt,443574000
"Manure management (manure treated, N content)","Cattle, non-dairy",2022,kg,267704846.6
Manure management (Emissions CH4),"Cattle, non-dairy",2022,kt,46692000
Manure management (Emissions N2O),"Cattle, non-dairy",2022,kt,3133400
Manure management (Direct emissions N2O),"Cattle, non-dairy",2022,kt,2047700
Manure management (Indirect emissions N2O),"Cattle, non-dairy",2022,kt,1085700
Manure left on pasture (N content),"Cattle, non-dairy",2022,kg,125978751.4
Manure left on pasture that leaches (N content),"Cattle, non-dairy",2022,kg,37793625.41
Manure left on pasture that volatilises (N content),"Cattle, non-dairy",2022,kg,25195750.27
Manure left on pasture (Emissions N2O),"Cattle, non-dairy",2022,kt,4800700
Manure left on pasture (Direct emissions N2O),"Cattle, non-dairy",2022,kt,3959300
Indirect emissions (N2O that leaches) (Manure on pasture),"Cattle, non-dairy",2022,kt,445400
Indirect emissions (N2O that volatilises) (Manure on pasture),"Cattle, non-dairy",2022,kt,395900
Manure left on pasture (Indirect emissions N2O),"Cattle, non-dairy",2022,kt,841400
Manure applied to soils (N content),"Cattle, non-dairy",2022,kg,203076465
Manure applied to soils that leaches (N content),"Cattle, non-dairy",2022,kg,60922939.51
Manure applied to soils that volatilises (N content),"Cattle, non-dairy",2022,kg,40615293.01
Emissions (N2O) (Manure applied),"Cattle, non-dairy",2022,kt,4547500
Manure applied to soils (Direct emissions N2O),"Cattle, non-dairy",2022,kt,3191200
Indirect emissions (N2O that leaches) (Manure applied),"Cattle, non-dairy",2022,kt,718000
Indirect emissions (N2O that volatilises) (Manure applied),"Cattle, non-dairy",2022,kt,638200
Manure applied to soils (Indirect emissions N2O),"Cattle, non-dairy",2022,kt,1356300
Stocks,"Chickens, broilers",2022,An,120856911
Livestock total (Emissions N2O),"Chickens, broilers",2022,kt,1332000
Livestock total (Emissions CH4),"Chickens, broilers",2022,kt,2417100
"Manure management (manure treated, N content)","Chickens, broilers",2022,kg,42798212.06
Manure management (Emissions CH4),"Chickens, broilers",2022,kt,2417100
Manure management (Emissions N2O),"Chickens, broilers",2022,kt,342800
Manure management (Direct emissions N2O),"Chickens, broilers",2022,kt,341400
Manure management (Indirect emissions N2O),"Chickens, broilers",2022,kt,1400
Manure left on pasture (N content),"Chickens, broilers",2022,kg,873432.8991
Manure left on pasture that leaches (N content),"Chickens, broilers",2022,kg,262029.8697
Manure left on pasture that volatilises (N content),"Chickens, broilers",2022,kg,174686.5798
Manure left on pasture (Emissions N2O),"Chickens, broilers",2022,kt,33300
Manure left on pasture (Direct emissions N2O),"Chickens, broilers",2022,kt,27500
Indirect emissions (N2O that leaches) (Manure on pasture),"Chickens, broilers",2022,kt,3100
Indirect emissions (N2O that volatilises) (Manure on pasture),"Chickens, broilers",2022,kt,2700
Manure left on pasture (Indirect emissions N2O),"Chickens, broilers",2022,kt,5800
Manure applied to soils (N content),"Chickens, broilers",2022,kg,42689032.94
Manure applied to soils that leaches (N content),"Chickens, broilers",2022,kg,12806709.88
Manure applied to soils that volatilises (N content),"Chickens, broilers",2022,kg,8537806.589
Emissions (N2O) (Manure applied),"Chickens, broilers",2022,kt,955900
Manure applied to soils (Direct emissions N2O),"Chickens, broilers",2022,kt,670800
Indirect emissions (N2O that leaches) (Manure applied),"Chickens, broilers",2022,kt,150900
Indirect emissions (N2O that volatilises) (Manure applied),"Chickens, broilers",2022,kt,134200
Manure applied to soils (Indirect emissions N2O),"Chickens, broilers",2022,kt,285100
Stocks,"Chickens, layers",2022,An,58143089
Livestock total (Emissions N2O),"Chickens, layers",2022,kt,1118500
Livestock total (Emissions CH4),"Chickens, layers",2022,kt,10587900
"Manure management (manure treated, N content)","Chickens, layers",2022,kg,35938568.63
Manure management (Emissions CH4),"Chickens, layers",2022,kt,10587900
Manure management (Emissions N2O),"Chickens, layers",2022,kt,287800
Manure management (Direct emissions N2O),"Chickens, layers",2022,kt,286700
Manure management (Indirect emissions N2O),"Chickens, layers",2022,kt,1200
Manure left on pasture (N content),"Chickens, layers",2022,kg,733440.1761
Manure left on pasture that leaches (N content),"Chickens, layers",2022,kg,220032.0528
Manure left on pasture that volatilises (N content),"Chickens, layers",2022,kg,146688.0352
Manure left on pasture (Emissions N2O),"Chickens, layers",2022,kt,27900
Manure left on pasture (Direct emissions N2O),"Chickens, layers",2022,kt,23100
Indirect emissions (N2O that leaches) (Manure on pasture),"Chickens, layers",2022,kt,2600
